TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
12:57:59 AM,0.43589056,0.48018333,0.8135534,0.629783,0.61480856,1.1365601,-0.18984443,0.7950801,0.69024223,1.3278165,0.2776378,0.96611446,0.5222421,0.9346845,-0.3102037,0.4717245,0.12835786,0.60614747,-0.3573438,0.18254833,770.80585,831.6484,787.72894,701.9048,585.8608,100,0,0.086914063,0.031738281,0.991760254,3.446807861,-3.730926514,-3.043060303,1,1,1,1,1,85,
12:57:59 AM,0.27910793,0.48018333,0.19806021,0.5257901,0.57724667,1.1365601,-0.10661178,0.6953227,0.68853647,1.3278165,0.3204355,0.7586089,0.490191,0.9346845,-0.2583234,0.51877856,0.14065406,0.60614747,-0.4443549,0.123687804,819.15753,838.9011,803.0403,877.98535,844.5421,100,0,0.092407227,0.027648926,0.995178223,3.282318115,-3.798217773,0.104675293,1,1,1,1,1,85,
12:58:00 AM,0.2797549,0.48018333,0.24411157,0.45118377,0.40806076,1.1365601,-0.11497399,0.5070478,0.62471086,1.3278165,0.3458564,0.638492,0.25241628,0.9346845,-0.26036316,0.4752687,0.001867955,0.60614747,-0.5389898,0.06818931,809.89014,778.86444,792.96704,858.6447,675.7143,100,0,0.090393066,0.032287598,0.99420166,3.618774414,-4.172058105,-0.837402344,1,1,1,1,1,85,
12:58:00 AM,0.5695354,0.48018333,0.2559866,0.42758188,0.4893992,1.1365601,0.097318076,0.3138712,0.6546032,1.3278165,0.4284382,0.53315073,0.28772542,0.9346845,-0.22601596,0.5530937,0.04232266,0.60614747,-0.63407916,0.1181124,848.1685,810.696,794.9817,812.71063,862.27106,98,0,0.093444824,0.035095215,0.998962402,3.671112061,-4.508514404,-3.618774414,1,1,1,1,1,85,
12:58:01 AM,0.76937723,0.48018333,0.4037139,0.4201652,0.7293541,1.1365601,0.2692978,0.7669228,0.9962367,1.3278165,0.87268895,1.1831069,0.29718935,0.9346845,0.08640954,0.50141305,0.03547463,0.60614747,-0.4475835,0.16577126,791.3553,761.9414,790.54944,821.978,733.3333,100,0,0.093688965,0.029052734,0.995849609,3.409423828,-4.015045166,-1.734619141,1,1,1,1,1,85,
12:58:01 AM,0.8473256,0.48018333,0.41083145,0.47628787,0.81581444,1.1365601,0.38500744,0.8893952,0.9962367,1.3278165,0.87268895,1.1902232,0.31460565,0.9346845,0.1965539,0.46036842,0.05983242,0.60614747,-0.35952327,0.17651789,803.44324,780.4762,631.39197,777.6557,741.39197,100,0,0.094543457,0.027770996,0.994995117,3.155212402,-4.441223145,-2.773895264,1,1,1,1,1,85,
12:58:02 AM,0.74347335,0.48018333,0.48672727,0.46456942,0.8372929,1.1365601,0.50091505,0.91349655,0.9811369,1.3278165,0.87268895,1.1902232,0.32394353,0.9346845,0.35834557,0.40919247,0.10679686,0.60614747,-0.2663502,0.08746582,830.84247,911.8315,817.9487,866.30035,809.4872,100,0,0.088439941,0.033874512,0.99432373,3.671112061,-3.9402771,-2.631835938,1,1,1,1,1,85,
12:58:02 AM,0.63517714,0.48018333,0.4333682,0.46430767,0.6710138,1.1365601,0.61503494,0.58390814,0.7143819,1.3278165,0.86999,0.79636496,0.40381992,0.9346845,0.40914753,0.38619727,0.072342,0.60614747,-0.27088767,0.023127483,815.12823,776.04395,802.23444,875.9707,817.9487,100,0,0.087341309,0.02355957,0.994567871,3.663635254,-3.753356934,-1.196289063,1,1,1,1,1,85,
12:58:03 AM,0.6384191,0.48018333,0.94423836,0.4553012,0.60655546,1.1365601,-0.109407075,0.52013034,0.68163925,1.3278165,-0.35106215,0.6794512,0.39584506,0.9346845,-0.05022456,0.37526998,0.05281414,0.60614747,-0.48836377,0.008479827,798.20514,798.60803,799.41394,796.1905,831.6484,94.00001,0,0.088378906,0.032348633,0.984558105,3.252410889,-5.114135742,-1.241149902,1,1,1,1,1,85,
12:58:03 AM,0.65246505,0.48018333,0.8478009,0.44246402,0.65472513,1.1365601,0.10727742,0.44791993,0.78967935,1.3278165,-0.012685062,0.6794512,0.32789022,0.9346845,-0.013669745,0.31796753,-0.10482158,0.60614747,-0.5203971,-0.015967643,814.7253,830.0366,792.1612,817.1429,684.17584,94.00001,0,0.072387695,0.037841797,0.999145508,3.91784668,-2.332763672,-1.487884521,1,1,1,1,1,85,
