Gamma_TP10,Beta_TP10,Gamma_AF8,Gamma_TP9,Delta_TP9,Delta_AF8,Delta_TP10,Beta_TP9,Beta_AF8,Beta_AF7,Gamma_AF7,Theta_TP9,Theta_TP10,Theta_AF7,Delta_AF7,Alpha_TP10,Alpha_AF7,Class
0.515308694,0.797451872,-0.320677609,0.187743647,1.529504023,0.802520773,1.484763496,0.683637017,-0.037161141,0.08821228,-0.399302657,1.091418575,0.950666849,0.379527214,0.539539264,0.971507475,0.492376414,2
-0.019776164,0.626731562,-0.46335678,0.084752165,1.570995834,1.380224914,1.646400823,0.945744313,0.312192526,0.184585144,-0.420906457,0.748999847,0.789851746,0.063644649,0.283449493,0.705178307,0.395821187,2
-0.043691873,0.698393164,-0.477886084,-0.152862974,1.19121083,1.303876209,1.3976361,0.784977595,0.226464112,0.235129349,-0.475951358,1.273100986,0.488353186,0.211194632,0.346164901,1.03119086,0.506519431,2
0.048454742,0.697200142,-0.53278436,-0.136488299,1.154992272,0.708908155,1.277736702,0.726482602,0.182719066,0.221134587,-0.503673068,1.148042679,0.616318953,0.282370696,0.360597861,1.039375977,0.511514177,2
0.096430466,0.771640522,-0.558726724,-0.119053283,1.173530764,0.691473434,1.07138719,0.795390778,0.253139329,0.190670355,-0.480906983,1.121014334,0.692867432,0.403823621,0.568115076,1.160269179,0.447322463,2
0.165826164,0.803569017,-0.538715118,-0.163631906,1.112615368,0.711264391,1.082550795,0.770325264,0.336238982,0.176844478,-0.432720592,0.94668982,0.720174205,0.35385123,0.698557822,1.123233755,0.367397101,2
0.164569752,0.743753355,-0.534041655,-0.102934873,1.058942378,0.465388209,1.106066797,0.848768779,0.296688811,0.125560534,-0.420787071,0.951395028,0.647650383,0.221311699,0.660080574,1.098394269,0.176582295,2
0.16362885,0.658182959,-0.462854479,-0.089695942,1.046278117,0.25590321,1.113784934,0.836431678,0.257564611,0.100983252,-0.45227547,1.021239031,0.605706653,0.006327807,0.568361893,1.073995402,0.195296594,2
0.151948059,0.427136391,-0.463025966,0.03434029,0.890992431,0.240968687,1.109864132,0.880688596,0.18501381,-0.002110914,-0.511485529,0.835245346,0.529234673,-0.106403997,0.260626939,0.748662473,0.187180738,2
0.118316461,0.49761146,-0.224175566,-0.027775721,0.621995108,0.665812247,1.172758009,0.361699136,0.004550367,-0.088986337,-0.45131828,0.555334325,0.7653394,0.288441445,0.634346051,0.674948038,0.316917006,2
0.151395205,0.391916937,-0.206114777,-0.008219879,0.707712623,0.805199517,1.027622917,0.459836889,-0.010902524,-0.151723431,-0.434130899,0.695769437,0.851343107,0.184390057,0.553966158,0.770024202,0.328029271,2
0.186563329,0.489782987,-0.160579693,0.031118593,0.658766085,0.643604593,0.955920765,0.551465284,0.050581671,-0.132159085,-0.419020391,0.630257798,0.756215256,0.08227848,0.468894312,0.800065536,0.407288249,2
0.125342187,0.464096111,-0.215644006,0.016771837,0.748751885,0.651406684,1.042499369,0.573918197,0.086342858,-0.130286283,-0.42549312,0.63689179,0.665561196,-0.042917166,0.357154355,0.807859502,0.555442932,2
0.062971735,0.531677122,-0.293280399,-0.002983102,0.822403038,0.742925778,0.992195775,0.602995515,0.130065402,-0.041739156,-0.37871683,0.602411018,0.442048773,0.14213243,0.487022299,1.20116084,0.681073985,2
-0.03351368,0.555044595,-0.486103544,-0.107703719,1.143055506,0.817370155,1.255560946,0.632528454,0.102006328,0.097585381,-0.426271472,0.666026425,0.825076637,0.202840155,0.64633167,1.372628142,0.709052826,2
0.03999552,0.612925744,-0.460145968,-0.136668224,1.250152088,0.813457904,1.289167067,0.671781729,0.08403732,0.389651572,-0.278939439,0.749510285,0.973700108,0.591871571,0.930059059,1.372628142,0.909629988,2
0.0593227,0.618082529,-0.492081668,-0.210634382,1.337527901,0.567517001,1.405531395,0.695945506,0.034383666,0.496603029,-0.26704385,0.739839912,1.098002567,0.677184056,1.000735431,1.307756024,0.905049403,2
0.048950564,0.596551807,-0.406156131,-0.277018498,1.330449608,0.570558155,1.429655225,0.66125258,-0.079572712,0.624708269,-0.067233526,0.883342983,1.065666375,0.870797757,1.102614448,1.20577453,0.891821037,2
0.071523322,0.698492135,-0.25756411,-0.260306525,1.013920872,0.434631154,1.067345086,0.409066936,-0.203664295,0.349227724,-0.069653731,0.936777526,0.745650521,0.415153589,0.42757572,0.695351468,0.259972203,2
0.072320991,0.754069129,-0.331118927,-0.08578443,1.053928122,0.477763493,0.968303714,0.545352401,0.041778905,0.338689113,-0.152336377,0.871331708,0.742503206,0.537440011,0.641423802,0.734992562,0.424776493,2
0.023440551,0.704991956,-0.314680488,-0.074134189,0.974426387,0.415200358,0.869273998,0.615649558,0.096371405,0.313222965,-0.223985178,0.773975108,0.707838533,0.45057585,0.646765061,0.780141733,0.423494408,2
-0.025559906,0.689133028,-0.388764382,0.000745083,0.948562463,1.038575728,0.847701866,0.711154907,0.129832931,0.248375275,-0.392110273,0.650580623,0.728987152,0.403845434,0.712894101,0.75130426,0.413808787,2
-0.129565051,0.550134351,-0.336422803,-0.055068492,0.767460136,1.424829892,0.87765426,0.74481726,0.080105326,0.174022048,-0.483153982,0.506907822,0.720727219,-0.104193791,0.583083559,0.639927281,0.305713135,2
-0.265976524,0.453862675,-0.339265195,-0.016752335,1.014207618,1.457001647,0.989710461,0.616071939,0.097368312,0.051393803,-0.329981008,0.986406476,0.754123023,-0.202941386,0.34623749,0.618153693,0.28877048,2
-0.265976524,0.453862675,-0.334978486,-0.130201709,0.930808749,1.347499607,0.989710461,0.601003346,0.202702911,0.158282755,-0.317390587,0.919893983,0.754123023,-0.019165606,0.643363433,0.618153693,0.56677211,2
-0.265976524,0.453862675,-0.356680834,-0.130201709,0.930808749,0.82094458,0.989710461,0.601003346,0.241192128,0.158282755,-0.317390587,0.919893983,0.754123023,-0.019165606,0.643363433,0.618153693,0.56677211,2
0.259775972,0.666189572,-0.423760848,-0.10401332,0.795028479,0.673781404,1.562319107,0.728472773,0.316999382,0.240808031,-0.364541678,0.643289726,0.6733689,0.134977387,0.835168455,0.706581483,0.56677211,2
0.212831112,0.777746849,0.315600798,0.162770399,0.828261468,1.21940266,0.748766269,0.842272348,0.607461538,0.761967811,0.473261194,0.74995385,0.768780884,0.167882003,1.177604287,1.226029563,0.475021472,2
0.134672863,0.73299811,0.14313095,0.144712746,0.926734159,1.028140673,0.766651446,0.773609238,0.501652535,0.631838423,0.321229683,0.767004649,0.722374608,0.290932397,0.986289339,1.226029563,0.543039742,2
0.125734593,0.66417416,0.045616633,0.091359167,1.146296077,0.955263882,1.042783741,0.691714799,0.420984449,0.517589323,0.227146706,0.800271715,0.673680401,0.217942013,0.907204471,1.231327124,0.579678242,2
0.124309583,0.575799116,-0.166363986,-0.020374487,1.239187313,0.832444546,1.011166627,0.601556918,0.327813049,0.474065838,0.311184762,0.756700218,0.564474307,0.209521792,0.656342802,1.187461773,0.588530012,2
0.181657812,0.507221284,-0.15438214,-0.129275155,1.318592945,0.90846263,1.019282119,0.558477945,0.255818823,0.384395913,0.293084046,0.837168098,0.488906644,0.082172924,0.591074826,0.705222344,0.49003947,2
0.196820463,0.588344222,-0.183003165,-0.091109312,1.357228677,1.213380645,0.983519198,0.576246462,0.286153759,0.367832147,0.256020904,0.799273473,0.663544323,0.141502948,0.771039497,0.863207731,0.621439878,2
0.172191011,0.663301425,-0.235371579,-0.031015004,1.510850664,1.501628027,1.145853107,0.511726913,0.379134988,0.238337319,-0.116542458,0.859468146,0.715772279,0.310227797,0.894020468,0.848469887,0.604112518,2
0.174003516,0.7329626,-0.311724992,0.036947421,1.613477683,1.68115342,1.281907795,0.473506196,0.487821177,0.266898813,-0.212431981,0.718076797,0.814878277,0.405665668,1.023489376,0.848469887,0.604112518,2
0.162001361,0.783718976,-0.262761193,0.018352438,1.752153516,1.758751793,1.362891315,0.401029993,0.630611964,0.338352118,-0.121842602,0.719446772,0.713964372,0.618275821,1.385662213,0.845997846,0.507183673,2
0.176203287,0.808388985,-0.197277161,0.018352438,1.752153516,1.10114574,1.066017492,0.401029993,0.395739455,0.275802149,-0.00145024,0.719446772,0.441477206,0.611130706,1.5340712,0.832637201,0.395389536,2
