Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Class
0.801462354,0.548262587,0.732099734,1.010245058,0.499549681,0.384597955,0.217201299,0.476274475,1.110475206,0.7358615,1.139930367,0.840503464,0.48514363,0.220402789,0.498308983,0.637583162,-0.135638346,-0.395552158,-0.526561774,0.469924189,626.959707,881.2087912,892.8937729,667.6556777,838.4981685,-0.177612,-0.211975,0.97229,5.682373,-3.633728,-1.226196,1.0,1.0,1.0,1.0,1.0,45.0,2
0.801462354,0.561450574,0.752461126,1.010245058,0.499549681,0.358523332,0.219419416,0.476274475,1.110475206,0.7358615,1.145884835,0.840503464,0.48514363,0.220315211,0.480374731,0.637583162,-0.135638346,-0.389586335,-0.531768147,0.469924189,805.0549451,806.6666667,788.9377289,730.1098901,660.8058608,-0.189087,-0.21637,0.971008,5.435638,-3.401947,-2.041168,1.0,1.0,1.0,1.0,1.0,45.0,2
0.51514264,0.328810357,0.646956985,0.828341197,0.375215346,0.011034954,0.174127195,0.455767035,0.771213334,0.579182985,0.755216452,0.596723731,0.354439929,0.180894233,0.27407807,0.627357562,-0.128672488,-0.418444012,-0.589350869,0.591054818,798.2051282,799.010989,788.9377289,793.3699634,670.0732601,-0.193542,-0.219849,0.970154,5.487976,-3.917847,-1.734619,1.0,1.0,1.0,1.0,1.0,45.0,2
0.534973061,0.460144781,0.649951211,0.846446429,0.349599395,0.054963621,0.185458286,0.42962118,0.712428166,0.205586247,0.605558152,0.511094833,0.351488514,0.025165428,0.142055779,0.661559998,-0.09701905,-0.528567882,-0.610454285,0.604196094,747.032967,816.7399267,803.8461538,755.4945055,921.9047619,-0.193542,-0.216858,0.967346,6.026306,-3.312225,-1.637421,1.0,1.0,1.0,1.0,1.0,45.0,2
0.800172123,0.429216516,0.562089109,0.846446429,0.478176574,0.122551849,0.190742651,0.42962118,1.029805116,-0.030625291,0.418430227,0.511094833,0.519773398,-0.009090677,0.116350062,0.661559998,-0.164109997,-0.57762875,-0.605589382,0.604196094,789.3406593,789.7435897,794.5787546,816.3369963,816.7399267,-0.198608,-0.213928,0.965637,6.332855,-3.753357,-1.906586,1.0,1.0,1.0,1.0,1.0,55.0,2
0.800172123,0.429216516,0.562089109,0.846446429,0.478176574,0.122551849,0.190742651,0.42962118,1.029805116,-0.030625291,0.418430227,0.511094833,0.519773398,-0.009090677,0.116350062,0.661559998,-0.164109997,-0.57762875,-0.605589382,0.604196094,829.6336996,795.3846154,788.1318681,771.6117216,678.5347985,-0.198608,-0.211426,0.967285,5.764618,-4.089813,-2.205658,1.0,1.0,1.0,1.0,1.0,55.0,2
1.266857735,0.480683688,0.41938902,1.237620285,0.755511008,0.078785262,0.028447338,0.443837904,1.22690304,0.303951571,0.521432146,0.953791945,0.666953314,0.100021371,0.03400868,0.887711775,0.14255341,-0.451009655,-0.492827973,0.485182187,820.3663004,795.7875458,795.7875458,772.014652,668.4615385,-0.190369,-0.219666,0.955872,12.276917,-6.557159,2.160797,1.0,1.0,1.0,1.0,1.0,55.0,2
1.529504023,0.539539264,0.802520773,1.484763496,1.091418575,0.379527214,0.371897515,0.950666849,1.143972259,0.492376414,0.643018244,0.971507475,0.683637017,0.08821228,-0.037161141,0.797451872,0.187743647,-0.399302657,-0.320677609,0.515308694,765.970696,790.1465201,794.981685,817.5457875,788.9377289,-0.215393,-0.122314,0.976501,2.572021,-3.633728,-5.592651,1.0,1.0,1.0,1.0,1.0,55.0,2
1.570995834,0.283449493,1.380224914,1.646400823,0.748999847,0.063644649,1.11926917,0.789851746,1.288100844,0.395821187,1.159336843,0.705178307,0.945744313,0.184585144,0.312192526,0.626731562,0.084752165,-0.420906457,-0.46335678,-0.019776164,789.3406593,799.4139194,790.5494505,777.6556777,809.0842491,-0.319641,0.102539,0.951538,5.697327,-4.770203,-1.742096,1.0,1.0,1.0,1.0,1.0,55.0,2
1.19121083,0.346164901,1.303876209,1.3976361,1.273100986,0.211194632,1.018074783,0.488353186,1.145521383,0.506519431,1.159336843,1.03119086,0.784977595,0.235129349,0.226464112,0.698393164,-0.152862974,-0.475951358,-0.477886084,-0.043691873,787.7289377,800.6227106,796.5934066,802.2344322,869.5238095,-0.32135,0.106201,0.951355,5.50293,-4.344025,-2.362671,1.0,1.0,1.0,1.0,1.0,55.0,2
1.154992272,0.360597861,0.708908155,1.277736702,1.148042679,0.282370696,0.247977761,0.616318953,1.149853332,0.511514177,0.549714377,1.039375977,0.726482602,0.221134587,0.182719066,0.697200142,-0.136488299,-0.503673068,-0.53278436,0.048454742,788.9377289,809.0842491,785.7142857,756.3003663,693.4432234,-0.33197,0.099182,0.957703,6.22818,-4.396362,-2.467346,1.0,1.0,1.0,1.0,1.0,55.0,2
1.173530764,0.568115076,0.691473434,1.07138719,1.121014334,0.403823621,0.157613979,0.692867432,1.173276719,0.447322463,0.495556187,1.160269179,0.795390778,0.190670355,0.253139329,0.771640522,-0.119053283,-0.480906983,-0.558726724,0.096430466,799.010989,796.996337,789.3406593,784.5054945,691.4285714,-0.325195,0.102112,0.954102,5.749664,-3.035583,-1.600037,1.0,1.0,1.0,1.0,1.0,60.0,2
1.112615368,0.698557822,0.711264391,1.082550795,0.94668982,0.35385123,0.080857016,0.720174205,1.166259953,0.367397101,0.530906821,1.123233755,0.770325264,0.176844478,0.336238982,0.803569017,-0.163631906,-0.432720592,-0.538715118,0.165826164,790.952381,796.996337,796.996337,798.6080586,922.7106227,-0.317871,0.106384,0.950378,6.078644,-3.626251,-1.719666,1.0,1.0,1.0,1.0,1.0,60.0,2
1.058942378,0.660080574,0.465388209,1.106066797,0.951395028,0.221311699,0.097828372,0.647650383,1.19921795,0.176582295,0.497354203,1.098394269,0.848768779,0.125560534,0.296688811,0.743753355,-0.102934873,-0.420787071,-0.534041655,0.164569752,745.018315,811.0989011,790.5494505,759.9267399,722.4542125,-0.313232,0.10498,0.951599,5.555267,-3.312225,-2.033691,1.0,1.0,1.0,1.0,1.0,60.0,2
1.046278117,0.568361893,0.25590321,1.113784934,1.021239031,0.006327807,0.278270078,0.605706653,1.196561729,0.195296594,0.630724346,1.073995402,0.836431678,0.100983252,0.257564611,0.658182959,-0.089695942,-0.45227547,-0.462854479,0.16362885,779.2673993,799.010989,792.5641026,757.5091575,634.2124542,-0.3255,0.104919,0.961609,6.302948,-4.927216,-2.355194,1.0,1.0,1.0,1.0,1.0,60.0,2
0.890992431,0.260626939,0.240968687,1.109864132,0.835245346,-0.106403997,0.372039495,0.529234673,1.032271422,0.187180738,0.50468829,0.748662473,0.880688596,-0.002110914,0.18501381,0.427136391,0.03434029,-0.511485529,-0.463025966,0.151948059,789.3406593,794.1758242,798.6080586,777.2527473,711.978022,-0.317261,0.109009,0.963562,6.108551,-2.444916,-1.121521,1.0,1.0,1.0,1.0,1.0,60.0,2
0.621995108,0.634346051,0.665812247,1.172758009,0.555334325,0.288441445,0.47028133,0.7653394,0.477004726,0.316917006,0.660697349,0.674948038,0.361699136,-0.088986337,0.004550367,0.49761146,-0.027775721,-0.45131828,-0.224175566,0.118316461,774.029304,795.7875458,788.1318681,786.1172161,744.6153846,-0.311584,0.116089,0.955627,5.816956,-4.575806,-1.211243,1.0,1.0,1.0,1.0,1.0,60.0,2
0.707712623,0.553966158,0.805199517,1.027622917,0.695769437,0.184390057,0.385829392,0.851343107,0.652739392,0.328029271,0.474069363,0.770024202,0.459836889,-0.151723431,-0.010902524,0.391916937,-0.008219879,-0.434130899,-0.206114777,0.151395205,775.2380952,793.3699634,797.8021978,782.8937729,701.0989011,-0.314331,0.109436,0.962036,5.158997,-3.985138,-2.175751,1.0,1.0,1.0,1.0,1.0,60.0,2
0.658766085,0.468894312,0.643604593,0.955920765,0.630257798,0.08227848,0.285415653,0.756215256,0.722721106,0.407288249,0.478510783,0.800065536,0.551465284,-0.132159085,0.050581671,0.489782987,0.031118593,-0.419020391,-0.160579693,0.186563329,770.8058608,788.1318681,794.1758242,758.3150183,593.9194139,-0.318054,0.113892,0.957642,5.966492,-4.979553,-2.661743,1.0,1.0,1.0,1.0,1.0,60.0,2
0.748751885,0.357154355,0.651406684,1.042499369,0.63689179,-0.042917166,0.280226695,0.665561196,0.8244612,0.555442932,0.537450228,0.807859502,0.573918197,-0.130286283,0.086342858,0.464096111,0.016771837,-0.42549312,-0.215644006,0.125342187,792.5641026,798.2051282,800.2197802,805.4578755,836.8864469,-0.312195,0.114624,0.958679,5.734711,-3.357086,-1.502838,1.0,1.0,1.0,1.0,1.0,60.0,2
0.822403038,0.487022299,0.742925778,0.992195775,0.602411018,0.14213243,0.440285188,0.442048773,1.095573148,0.681073985,0.716213353,1.20116084,0.602995515,-0.041739156,0.130065402,0.531677122,-0.002983102,-0.37871683,-0.293280399,0.062971735,779.6703297,812.3076923,792.1611722,794.981685,718.8278388,-0.305481,0.10907,0.956604,5.592651,-4.149628,-2.15332,1.0,1.0,1.0,1.0,1.0,60.0,2
1.143055506,0.64633167,0.817370155,1.255560946,0.666026425,0.202840155,0.519706175,0.825076637,1.216823067,0.709052826,0.739987935,1.372628142,0.632528454,0.097585381,0.102006328,0.555044595,-0.107703719,-0.426271472,-0.486103544,-0.03351368,802.6373626,788.5347985,780.4761905,784.1025641,718.4249084,-0.307434,0.11615,0.963806,5.420685,-3.895416,-2.811279,1.0,1.0,1.0,1.0,1.0,60.0,2
1.250152088,0.930059059,0.813457904,1.289167067,0.749510285,0.591871571,0.542411543,0.973700108,1.221956348,0.909629988,0.701766997,1.372628142,0.671781729,0.389651572,0.08403732,0.612925744,-0.136668224,-0.278939439,-0.460145968,0.03999552,794.5787546,794.1758242,791.7582418,809.4871795,718.021978,-0.309998,0.113586,0.966614,4.912262,-4.164581,-2.803802,1.0,1.0,1.0,1.0,1.0,60.0,2
1.337527901,1.000735431,0.567517001,1.405531395,0.739839912,0.677184056,0.319642273,1.098002567,1.118739859,0.905049403,0.635616471,1.307756024,0.695945506,0.496603029,0.034383666,0.618082529,-0.210634382,-0.26704385,-0.492081668,0.0593227,798.6080586,796.996337,799.4139194,792.967033,875.1648352,-0.299683,0.116028,0.960999,5.585175,-2.743988,-1.323395,1.0,1.0,1.0,1.0,1.0,60.0,2
1.330449608,1.102614448,0.570558155,1.429655225,0.883342983,0.870797757,0.261050364,1.065666375,0.979627451,0.891821037,0.522129904,1.20577453,0.66125258,0.624708269,-0.079572712,0.596551807,-0.277018498,-0.067233526,-0.406156131,0.048950564,754.6886447,800.6227106,791.3553114,783.6996337,642.6739927,-0.296204,0.114197,0.962585,6.101074,-4.396362,-2.31781,1.0,1.0,1.0,1.0,1.0,60.0,2
1.013920872,0.42757572,0.434631154,1.067345086,0.936777526,0.415153589,0.255087673,0.745650521,0.840781237,0.259972203,0.230586037,0.695351468,0.409066936,0.349227724,-0.203664295,0.698492135,-0.260306525,-0.069653731,-0.25756411,0.071523322,771.2087912,796.5934066,797.3992674,776.8498168,766.3736264,-0.294556,0.110413,0.96521,5.719757,-4.650574,-2.706604,1.0,1.0,1.0,1.0,1.0,60.0,2
1.053928122,0.641423802,0.477763493,0.968303714,0.871331708,0.537440011,0.33661064,0.742503206,0.85620346,0.424776493,0.563943229,0.734992562,0.545352401,0.338689113,0.041778905,0.754069129,-0.08578443,-0.152336377,-0.331118927,0.072320991,786.9230769,795.7875458,798.2051282,802.6373626,648.3150183,-0.29187,0.114746,0.966125,5.031891,-4.224396,-1.80191,1.0,1.0,1.0,1.0,1.0,60.0,2
0.974426387,0.646765061,0.415200358,0.869273998,0.773975108,0.45057585,0.262535434,0.707838533,0.956305512,0.423494408,0.555524961,0.780141733,0.615649558,0.313222965,0.096371405,0.704991956,-0.074134189,-0.223985178,-0.314680488,0.023440551,715.6043956,854.2124542,829.6336996,725.6776557,698.6813187,-0.262451,0.112061,0.983276,6.332855,-7.723541,0.411224,1.0,1.0,1.0,1.0,1.0,60.0,2
0.948562463,0.712894101,1.038575728,0.847701866,0.650580623,0.403845434,0.881288303,0.728987152,0.855272893,0.413808787,1.038284691,0.75130426,0.711154907,0.248375275,0.129832931,0.689133028,0.000745083,-0.392110273,-0.388764382,-0.025559906,800.2197802,777.2527473,778.8644689,789.7435897,684.1758242,-0.247803,0.135315,0.973022,5.996399,-2.915955,-2.467346,1.0,1.0,1.0,1.0,1.0,60.0,2
0.767460136,0.583083559,1.424829892,0.87765426,0.506907822,-0.104193791,1.19119989,0.720727219,0.811841306,0.305713135,1.089204831,0.639927281,0.74481726,0.174022048,0.080105326,0.550134351,-0.055068492,-0.483153982,-0.336422803,-0.129565051,806.2637363,778.0586081,774.8351648,768.7912088,703.9194139,-0.253967,0.136292,0.973694,6.213226,-4.530945,-0.844879,1.0,1.0,1.0,1.0,1.0,60.0,2
1.014207618,0.34623749,1.457001647,0.989710461,0.986406476,-0.202941386,1.193657103,0.754123023,0.859625124,0.28877048,1.089204831,0.618153693,0.616071939,0.051393803,0.097368312,0.453862675,-0.016752335,-0.329981008,-0.339265195,-0.265976524,798.2051282,789.3406593,800.2197802,803.8461538,803.040293,-0.249512,0.132141,0.973145,5.226288,-3.820648,-2.355194,1.0,1.0,1.0,1.0,1.0,60.0,2
0.930808749,0.643363433,1.347499607,0.989710461,0.919893983,-0.019165606,1.01256046,0.754123023,0.847877282,0.56677211,1.081338295,0.618153693,0.601003346,0.158282755,0.202702911,0.453862675,-0.130201709,-0.317390587,-0.334978486,-0.265976524,816.7399267,767.5824176,779.6703297,844.5421245,815.5311355,-0.246277,0.137878,0.977478,5.809479,-4.007568,-1.772003,1.0,1.0,1.0,1.0,1.0,60.0,2
0.930808749,0.643363433,0.82094458,0.989710461,0.919893983,-0.019165606,0.118123134,0.754123023,0.847877282,0.56677211,0.278318796,0.618153693,0.601003346,0.158282755,0.241192128,0.453862675,-0.130201709,-0.317390587,-0.356680834,-0.265976524,770.8058608,837.6923077,822.7838828,772.014652,741.7948718,-0.217224,0.144897,0.980347,3.005676,-1.988831,3.514099,1.0,1.0,1.0,1.0,1.0,55.0,2
0.795028479,0.835168455,0.673781404,1.562319107,0.643289726,0.134977387,0.021865371,0.6733689,0.857556477,0.56677211,0.194962175,0.706581483,0.728472773,0.240808031,0.316999382,0.666189572,-0.10401332,-0.364541678,-0.423760848,0.259775972,770.0,784.9084249,803.4432234,781.6849817,701.0989011,-0.245667,0.128357,0.977356,5.271149,-3.753357,0.957031,1.0,1.0,1.0,1.0,1.0,55.0,2
0.828261468,1.177604287,1.21940266,0.748766269,0.74995385,0.167882003,0.478129423,0.768780884,0.733503199,0.475021472,0.631406311,1.226029563,0.842272348,0.761967811,0.607461538,0.777746849,0.162770399,0.473261194,0.315600798,0.212831112,805.8608059,803.040293,794.981685,800.2197802,803.4432234,-0.252625,0.128601,0.976562,5.719757,-3.596344,-2.310333,1.0,1.0,1.0,1.0,1.0,55.0,2
0.926734159,0.986289339,1.028140673,0.766651446,0.767004649,0.290932397,0.282708731,0.722374608,0.74111881,0.543039742,0.638722925,1.226029563,0.773609238,0.631838423,0.501652535,0.73299811,0.144712746,0.321229683,0.14313095,0.134672863,780.0732601,802.2344322,792.5641026,767.5824176,601.978022,-0.246155,0.131653,0.972168,6.452484,-3.775787,-2.557068,1.0,1.0,1.0,1.0,1.0,55.0,2
1.146296077,0.907204471,0.955263882,1.042783741,0.800271715,0.217942013,0.442347664,0.673680401,1.079029776,0.579678242,0.670672301,1.231327124,0.691714799,0.517589323,0.420984449,0.66417416,0.091359167,0.227146706,0.045616633,0.125734593,786.9230769,785.7142857,788.9377289,767.1794872,680.5494505,-0.243469,0.134155,0.97168,5.936584,-3.573914,-2.257996,1.0,1.0,1.0,1.0,1.0,55.0,2
