TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,emotion
32:52.9,-0.33212307,0.018214522,-0.08964171,0.12665413,0.1722584,0.039264355,-0.005394511,0.110524625,0.5683952,0.10227321,0.05900207,0.46040887,0.2086053,-0.04389446,0.006490632,0.17549394,-0.16925626,-0.36125165,-0.27474746,-0.047016423,784.90845,805.4579,790.9524,809.0842,763.95605,44.000008,0,-0.145202637,0.17388916,0.974060059,3.469238281,-4.613189697,-1.839294434,1,1,1,1,1,40,sad
32:53.9,-0.24792199,0.10751244,0.12707202,0.13268536,0.15365295,-0.196856,0.122092746,-0.104643,0.46659938,-0.011296583,0.056383945,0.5025848,0.23053649,0.19553126,0.005246315,0.46334258,-0.11972919,-0.40236962,-0.2043845,-0.039742168,848.5714,800.6227,788.1319,808.2784,751.06226,50.000008,0,-0.147827148,0.174743652,0.971862793,3.237457275,-4.037475586,-1.772003174,1,1,1,1,1,40,sad
32:54.9,-0.08663965,0.240103,-0.015603239,0.22586614,0.029169932,-0.042595834,0.028073424,-0.05177918,0.49636358,0.28049132,0.17276265,0.81084806,0.19597839,0.24324,-0.034230597,0.49584702,-0.15136465,-0.39451778,-0.43356875,-0.03715262,759.5238,803.0403,788.1319,790.14655,604.7985,69.999985,0,-0.145751953,0.174438477,0.97265625,3.454284668,-4.613189697,-2.00378418,1,1,1,1,1,40,sad
32:55.9,0.13720109,0.28618842,-0.009642537,0.30417654,0.2340373,0.02589899,-0.12715459,0.09241483,0.5918567,0.3494139,0.14626902,0.7652092,0.26752847,0.097009405,-0.13046584,0.31632802,-0.2971342,-0.50644636,-0.36040425,-0.05833853,814.3223,794.57874,788.93774,798.60803,777.25275,87.99997,0,-0.142822266,0.176879883,0.974487305,3.745880127,-3.514099121,-1.674804688,1,1,1,1,1,40,sad
32:56.9,-0.1824359,0.08157329,0.16000451,-0.025818449,0.2532557,-0.060474362,-0.23830983,-0.21033798,0.62353355,0.44839358,0.004447443,0.67286897,0.28267983,0.09317932,0.054660425,0.23832893,-0.08032587,-0.22773056,-0.03171328,0.019200597,755.09155,808.68134,776.4469,794.57874,817.9487,100,0,-0.141479492,0.174194336,0.975830078,3.768310547,-4.403839111,-1.786956787,1,1,1,1,1,35,sad
32:58.0,0.07429986,0.2562948,-0.15372029,-0.07301564,0.16472453,0.26850936,-0.40969118,0.011480664,0.54848814,0.48249352,0.32947773,0.6124938,0.2891651,0.16982618,0.14464433,0.39188173,-0.051950827,-0.24646485,-0.19709654,0.1312919,847.3626,799.41394,790.54944,826.8132,1103.6263,100,6,-0.142944336,0.172668457,0.978881836,3.626251221,-4.209442139,-1.293487549,1,1,1,1,1,35,sad
32:59.0,-0.08411989,0.33248806,-0.108589485,0.16790608,0.25706324,0.1976243,-0.24174455,0.037177514,0.7354218,0.44095615,0.30058968,0.6515824,0.18907015,0.16216744,0.028389096,0.38493285,-0.2140111,-0.44593257,-0.19467223,0.18088359,786.52014,797.3993,787.326,784.5055,740.58606,100,6,-0.143493652,0.178466797,0.969055176,3.282318115,-4.687957764,-1.757049561,1,1,1,1,1,35,sad
33:00.0,-0.019473048,0.3847256,0.17260829,0.23198473,0.1331369,0.046581414,-0.041956596,0.1143968,0.69743496,0.46587503,0.1645075,0.6784614,0.19957352,0.038899485,0.1000722,0.4174366,-0.36146066,-0.4136165,-0.15496297,0.018870829,789.7436,809.4872,782.0879,820.7692,668.86444,100,0,-0.14440918,0.184204102,0.971923828,3.992614746,-3.663635254,-1.667327881,1,1,1,1,1,35,sad
33:01.0,-0.053397648,0.33324528,0.8715407,0.01734681,0.20004643,0.06950615,0.46379194,0.08446891,0.8969005,0.4500929,0.4192667,0.42214566,0.1279525,0.011927909,0.23414803,0.32098955,-0.31231827,-0.3255506,-0.22445746,-0.022012556,689.81683,799.41394,752.674,728.0952,516.1539,100,0,-0.156494141,0.190368652,0.971252441,4.164581299,-3.581390381,-2.272949219,1,1,1,1,1,35,sad
33:02.0,-0.2389088,0.40889844,0.54688185,-0.11442735,0.22936656,-0.042298026,-0.20211338,-0.5026888,0.7993418,0.08577051,-0.09318949,0.06839231,0.22680034,0.049561176,-0.04060187,0.36115205,-0.17906177,-0.5255758,-0.36575532,-0.014201361,831.6484,817.1429,767.5824,829.2308,721.2454,100,2,-0.139465332,0.190002441,0.970458984,3.69354248,-5.338439941,-1.121520996,1,1,1,1,1,35,sad
