TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-09-11 00:41:50.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:50.572,1.3200917,0.0,0.0,0.13601851,1.0363541,0.0,0.0,-0.2520527,1.5628873,0.0,0.0,0.89871055,0.77701616,0.0,0.0,0.5584327,0.3131646,0.0,0.0,-0.15441728,711.978,1114.5055,668.46155,714.7985,476.66666,0.33355712890625,-0.0389404296875,0.94818115234375,4.725341796875,-0.964508056640625,-5.405731201171875,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:51.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 00:41:51.104,1.1492363,0.0,0.0,0.13601851,0.9821767,0.0,0.0,-0.2520527,1.5958055,0.0,0.0,0.89871055,0.9641375,0.0,0.0,0.5584327,0.2602781,0.0,0.0,-0.15441728,792.1612,488.35165,742.1978,796.5934,763.1502,0.345947265625,-0.058837890625,0.95452880859375,7.6861572265625,-7.67120361328125,1.308441162109375,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:51.640,1.0568335,0.0,0.0,0.13601851,1.0362325,0.0,0.0,-0.2520527,1.4142767,0.0,0.0,0.89871055,1.0988872,0.0,0.0,0.5584327,0.074567296,0.0,0.0,-0.15441728,875.16486,1056.8865,1643.1501,853.8095,1050.8425,0.36614990234375,-0.0306396484375,0.9471435546875,-1.1065673828125,-2.100982666015625,-19.2901611328125,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:52.150,1.0568335,0.0,0.0,0.13601851,1.0362325,0.0,0.0,-0.2520527,1.4142767,0.0,0.0,0.89871055,1.0988872,0.0,0.0,0.5584327,0.074567296,0.0,0.0,-0.15441728,795.78754,562.0879,901.75824,792.1612,815.9341,0.35284423828125,-0.05804443359375,0.95428466796875,5.256195068359375,-2.97576904296875,-3.69354248046875,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:52.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:52.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:52.664,1.0568335,0.0,0.0,0.13601851,1.0362325,0.0,0.0,-0.2520527,1.4142767,0.0,0.0,0.89871055,1.0988872,0.0,0.0,0.5584327,0.074567296,0.0,0.0,-0.15441728,774.83514,869.92676,340.4762,790.54944,620.10986,0.32672119140625,-0.0506591796875,0.9569091796875,5.8917236328125,-2.998199462890625,-2.684173583984375,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:53.202,0.5416031,0.0,0.0,0.42431992,0.733754,0.0,0.0,0.803136,0.60753,0.0,0.0,0.46561173,0.36457694,0.0,0.0,0.35108003,-0.012546845,0.0,0.0,0.16080256,712.381,544.35895,0.0,743.00366,434.35898,0.31524658203125,-0.05218505859375,0.95660400390625,6.400146484375,-4.42626953125,-2.7215576171875,1,1.0,1.0,4.0,1.0,65.00
