TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-09-11 01:25:58.267,0.0,1.240627,0.0,0.77783203,0.0,1.022965,0.0,0.9781637,0.0,1.20208,0.0,0.3842473,0.0,0.73460615,0.0,0.63380903,0.0,0.029828979,0.0,0.13285968,904.57874,713.5897,1302.2711,791.3553,832.4542,0.21343994140625,-0.02032470703125,0.98553466796875,5.046844482421875,-3.48419189453125,-2.295379638671875,1,1.0,1.0,2.0,1.0,60.00
2021-09-11 01:25:58.787,0.0,1.240627,0.0,0.77783203,0.0,1.022965,0.0,0.9781637,0.0,1.20208,0.0,0.3842473,0.0,0.73460615,0.0,0.63380903,0.0,0.029828979,0.0,0.13285968,953.73627,744.61536,1582.3077,801.02563,1066.5568,0.2105712890625,-0.01983642578125,0.98907470703125,5.973968505859375,-3.805694580078125,-2.280426025390625,1,1.0,1.0,2.0,1.0,60.00
2021-09-11 01:25:59.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 01:25:59.305,0.0,1.240627,0.0,0.77783203,0.0,1.022965,0.0,0.9781637,0.0,1.20208,0.0,0.3842473,0.0,0.73460615,0.0,0.63380903,0.0,0.029828979,0.0,0.13285968,760.7326,769.19415,813.91943,747.4359,729.707,0.2081298828125,-0.01397705078125,0.99627685546875,5.7122802734375,-2.310333251953125,-0.785064697265625,1,1.0,1.0,4.0,1.0,60.00
2021-09-11 01:25:59.823,0.0,1.240627,0.0,0.9135833,0.0,1.022965,0.0,1.2834709,0.0,1.20208,0.0,1.2624241,0.0,0.73460615,0.0,0.99236536,0.0,0.029828979,0.0,0.5338579,525.42126,760.7326,0.0,703.91943,620.5128,0.18414306640625,-0.015380859375,0.9921875,5.36834716796875,-4.254302978515625,-3.170166015625,1,1.0,1.0,4.0,1.0,60.00
2021-09-11 01:26:00.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 01:26:00.337,0.0,1.240627,0.0,0.9135833,0.0,1.022965,0.0,1.2834709,0.0,1.20208,0.0,1.2624241,0.0,0.73460615,0.0,0.99236536,0.0,0.029828979,0.0,0.5338579,704.3223,746.63007,427.91208,783.2967,748.24176,0.192626953125,-0.009765625,0.99053955078125,9.3609619140625,-1.89910888671875,-5.323486328125,1,1.0,1.0,4.0,1.0,60.00
2021-09-11 01:26:00.855,0.0,1.240627,0.0,0.9135833,0.0,1.022965,0.0,1.2834709,0.0,1.20208,0.0,1.2624241,0.0,0.73460615,0.0,0.99236536,0.0,0.029828979,0.0,0.5338579,562.49084,772.4176,250.62271,722.0513,587.0696,0.15216064453125,0.03094482421875,1.00897216796875,4.66552734375,5.5029296875,-1.016845703125,1,1.0,1.0,2.0,1.0,60.00
2021-09-11 01:26:01.371,0.0,1.240627,0.0,0.9135833,0.0,1.022965,0.0,1.2834709,0.0,1.20208,0.0,1.2624241,0.0,0.73460615,0.0,0.99236536,0.0,0.029828979,0.0,0.5338579,819.9634,789.34064,977.1062,737.3626,890.87915,0.1080322265625,0.01922607421875,0.99114990234375,7.185211181640625,-10.3179931640625,-4.964599609375,1,1.0,1.0,4.0,1.0,60.00
2021-09-11 01:26:01.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
